Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
48;1;0.250;-0.750;-3.388;-0.27;-0.92;-0.17;-2.84;-1.82;-17.31;26.31;5.42
49;1;0.250;-0.850;-3.412;-0.15;-0.71;-0.10;-2.07;-1.18;-14.86;23.71;4.95
50;1;0.250;-0.950;-3.435;-0.08;-0.55;-0.05;-1.49;-0.79;-12.53;21.61;4.35
51;1;0.250;-1.050;-3.459;-0.04;-0.41;-0.02;-1.09;-0.56;-10.56;19.85;3.72
52;1;0.250;-1.150;-3.482;-0.01;-0.30;0.01;-0.84;-0.44;-9.09;18.29;3.12
53;1;0.250;-1.250;-3.505;0.01;-0.21;0.03;-0.62;-0.28;-7.99;16.90;2.60
54;1;0.250;-1.350;-3.529;0.02;-0.16;0.03;-0.36;-0.15;-7.09;15.82;2.12
55;1;0.250;-1.450;-3.552;0.03;-0.13;0.04;-0.16;-0.17;-6.42;15.19;1.58
56;1;0.250;-1.550;-3.576;0.04;-0.11;0.04;-0.13;-0.27;-6.06;14.73;0.97
57;1;0.250;-1.650;-3.599;0.05;-0.08;0.04;-0.16;-0.29;-5.90;13.91;0.43
58;1;0.250;-1.750;-3.623;0.06;-0.06;0.03;-0.14;-0.22;-5.76;12.60;0.01
59;1;0.250;-1.850;-3.646;0.07;-0.04;0.02;-0.09;-0.16;-5.65;11.17;-0.41
60;1;0.250;-1.950;-3.670;0.08;-0.03;0.02;-0.08;-0.14;-5.61;9.82;-0.73
61;1;0.350;-0.050;-3.249;-2.00;-2.55;2.20;7.33;1.68;-0.23;53.04;-20.08
62;1;0.350;-0.150;-3.272;-1.41;-3.63;1.23;11.71;-8.37;-13.48;46.95;-17.42
63;1;0.350;-0.250;-3.295;-1.28;-3.15;0.33;5.92;-9.93;-20.30;45.07;-9.61
64;1;0.350;-0.350;-3.317;-1.21;-2.35;-0.06;0.83;-7.71;-22.84;41.08;-3.97
65;1;0.350;-0.450;-3.340;-0.99;-1.73;-0.15;-1.48;-5.28;-22.87;36.73;-0.42
66;1;0.350;-0.550;-3.363;-0.72;-1.30;-0.15;-2.10;-3.52;-21.46;32.58;1.70
67;1;0.350;-0.650;-3.386;-0.47;-0.98;-0.12;-1.98;-2.32;-19.25;28.87;2.79
68;1;0.350;-0.750;-3.409;-0.30;-0.75;-0.08;-1.60;-1.50;-16.76;25.85;3.16
69;1;0.350;-0.850;-3.431;-0.19;-0.58;-0.05;-1.18;-0.98;-14.29;23.49;3.11
70;1;0.350;-0.950;-3.454;-0.11;-0.46;-0.02;-0.83;-0.69;-12.08;21.64;2.84
71;1;0.350;-1.050;-3.477;-0.07;-0.36;0.00;-0.62;-0.56;-10.32;20.11;2.50
72;1;0.350;-1.150;-3.500;-0.04;-0.27;0.02;-0.50;-0.47;-9.03;18.69;2.15
73;1;0.350;-1.250;-3.523;-0.02;-0.19;0.03;-0.39;-0.38;-8.07;17.30;1.78
74;1;0.350;-1.350;-3.545;0.00;-0.14;0.03;-0.26;-0.35;-7.35;16.06;1.35
75;1;0.350;-1.450;-3.568;0.02;-0.11;0.04;-0.12;-0.37;-6.88;15.18;0.80
76;1;0.350;-1.550;-3.591;0.03;-0.09;0.04;-0.03;-0.36;-6.57;14.57;0.20
77;1;0.350;-1.650;-3.614;0.05;-0.07;0.04;-0.03;-0.29;-6.31;13.89;-0.28
78;1;0.350;-1.750;-3.637;0.06;-0.05;0.03;-0.07;-0.21;-6.09;12.96;-0.60
79;1;0.350;-1.850;-3.660;0.06;-0.03;0.02;-0.07;-0.15;-5.92;11.83;-0.86
80;1;0.350;-1.950;-3.682;0.07;-0.02;0.01;-0.08;-0.10;-5.74;10.56;-1.04
81;1;0.450;-0.050;-3.274;-1.52;-1.88;1.34;4.06;1.71;-6.70;46.89;-18.16
82;1;0.450;-0.150;-3.296;-1.05;-2.32;0.70;8.11;-4.27;-14.94;39.56;-17.02
83;1;0.450;-0.250;-3.318;-1.02;-2.10;0.24;5.33;-5.67;-19.59;38.85;-11.10
84;1;0.450;-0.350;-3.340;-0.95;-1.65;0.01;2.06;-4.82;-21.47;36.36;-6.24
85;1;0.450;-0.450;-3.362;-0.79;-1.28;-0.07;0.12;-3.57;-21.31;33.36;-2.84
86;1;0.450;-0.550;-3.385;-0.59;-1.00;-0.08;-0.68;-2.54;-19.93;30.43;-0.62
87;1;0.450;-0.650;-3.407;-0.41;-0.79;-0.06;-0.88;-1.77;-17.87;27.70;0.72
88;1;0.450;-0.750;-3.429;-0.27;-0.62;-0.04;-0.81;-1.21;-15.53;25.25;1.41
89;1;0.450;-0.850;-3.451;-0.18;-0.48;-0.02;-0.65;-0.83;-13.27;23.17;1.67
90;1;0.450;-0.950;-3.473;-0.12;-0.38;0.00;-0.46;-0.64;-11.36;21.48;1.67
91;1;0.450;-1.050;-3.495;-0.08;-0.30;0.01;-0.33;-0.58;-9.93;20.11;1.55
92;1;0.450;-1.150;-3.518;-0.05;-0.23;0.02;-0.24;-0.55;-8.92;18.92;1.34
93;1;0.450;-1.250;-3.540;-0.03;-0.17;0.03;-0.21;-0.53;-8.22;17.78;1.04
94;1;0.450;-1.350;-3.562;-0.01;-0.13;0.03;-0.18;-0.48;-7.73;16.64;0.63
95;1;0.450;-1.450;-3.584;0.01;-0.09;0.03;-0.14;-0.40;-7.32;15.46;0.14
96;1;0.450;-1.550;-3.606;0.03;-0.06;0.03;-0.07;-0.30;-6.91;14.39;-0.35
97;1;0.450;-1.650;-3.629;0.04;-0.04;0.03;-0.02;-0.23;-6.56;13.52;-0.79
98;1;0.450;-1.750;-3.651;0.04;-0.03;0.02;-0.01;-0.18;-6.32;12.78;-1.12
99;1;0.450;-1.850;-3.673;0.05;-0.01;0.02;-0.01;-0.14;-6.14;12.00;-1.33
100;1;0.450;-1.950;-3.695;0.05;0.00;0.01;-0.01;-0.11;-5.90;11.06;-1.48
101;1;0.550;-0.050;-3.298;-1.01;-1.42;0.90;2.10;1.31;-9.48;42.02;-16.37
102;1;0.550;-0.150;-3.320;-0.67;-1.62;0.43;5.60;-2.70;-15.24;34.47;-15.93
103;1;0.550;-0.250;-3.341;-0.70;-1.46;0.16;4.11;-3.51;-18.22;33.97;-11.28
104;1;0.550;-0.350;-3.363;-0.67;-1.21;0.01;2.01;-3.09;-19.44;32.51;-7.22
105;1;0.550;-0.450;-3.385;-0.57;-0.97;-0.04;0.61;-2.41;-19.10;30.52;-4.15
106;1;0.550;-0.550;-3.406;-0.44;-0.79;-0.05;-0.06;-1.80;-17.78;28.43;-2.03
107;1;0.550;-0.650;-3.428;-0.32;-0.64;-0.04;-0.32;-1.31;-15.93;26.42;-0.64
108;1;0.550;-0.750;-3.449;-0.22;-0.51;-0.02;-0.37;-0.95;-13.91;24.55;0.20
109;1;0.550;-0.850;-3.471;-0.15;-0.40;-0.01;-0.33;-0.75;-12.06;22.84;0.65
110;1;0.550;-0.950;-3.492;-0.11;-0.31;0.00;-0.25;-0.67;-10.60;21.37;0.83
111;1;0.550;-1.050;-3.514;-0.07;-0.24;0.01;-0.17;-0.66;-9.58;20.12;0.83
112;1;0.550;-1.150;-3.535;-0.05;-0.19;0.02;-0.13;-0.63;-8.88;19.03;0.67
113;1;0.550;-1.250;-3.557;-0.03;-0.14;0.02;-0.12;-0.58;-8.41;18.02;0.41
114;1;0.550;-1.350;-3.579;-0.01;-0.10;0.03;-0.11;-0.48;-8.01;17.00;0.06
115;1;0.550;-1.450;-3.600;0.01;-0.07;0.03;-0.09;-0.36;-7.57;15.87;-0.31
116;1;0.550;-1.550;-3.622;0.02;-0.04;0.02;-0.05;-0.27;-7.12;14.74;-0.68
117;1;0.550;-1.650;-3.643;0.03;-0.02;0.02;-0.01;-0.22;-6.75;13.76;-1.06
118;1;0.550;-1.750;-3.665;0.03;-0.01;0.01;0.01;-0.18;-6.49;12.96;-1.40
119;1;0.550;-1.850;-3.686;0.04;0.00;0.01;0.03;-0.15;-6.28;12.21;-1.65
120;1;0.550;-1.950;-3.708;0.04;0.01;0.00;0.04;-0.12;-6.07;11.43;-1.84
121;1;0.650;-0.050;-3.323;-0.62;-1.05;0.62;0.99;1.13;-10.11;38.22;-14.48
122;1;0.650;-0.150;-3.344;-0.39;-1.18;0.27;4.05;-1.87;-14.39;30.87;-14.44
123;1;0.650;-0.250;-3.365;-0.44;-1.04;0.10;3.04;-2.26;-16.28;30.29;-10.68
124;1;0.650;-0.350;-3.386;-0.44;-0.89;0.00;1.64;-1.99;-17.00;29.38;-7.35
125;1;0.650;-0.450;-3.407;-0.39;-0.74;-0.03;0.68;-1.62;-16.59;28.14;-4.70
126;1;0.650;-0.550;-3.428;-0.31;-0.62;-0.04;0.16;-1.26;-15.40;26.69;-2.76
127;1;0.650;-0.650;-3.449;-0.23;-0.51;-0.03;-0.06;-0.97;-13.82;25.21;-1.44
128;1;0.650;-0.750;-3.470;-0.17;-0.41;-0.02;-0.13;-0.80;-12.25;23.80;-0.58
129;1;0.650;-0.850;-3.490;-0.12;-0.33;-0.01;-0.14;-0.75;-10.94;22.49;-0.04
130;1;0.650;-0.950;-3.511;-0.09;-0.26;0.00;-0.12;-0.74;-9.99;21.27;0.23
131;1;0.650;-1.050;-3.532;-0.06;-0.20;0.01;-0.10;-0.70;-9.35;20.15;0.29
132;1;0.650;-1.150;-3.553;-0.04;-0.15;0.01;-0.08;-0.63;-8.89;19.10;0.18
133;1;0.650;-1.250;-3.574;-0.02;-0.11;0.02;-0.07;-0.54;-8.48;18.10;-0.03
134;1;0.650;-1.350;-3.595;-0.01;-0.07;0.02;-0.05;-0.44;-8.05;17.14;-0.28
135;1;0.650;-1.450;-3.616;0.01;-0.04;0.02;-0.03;-0.35;-7.60;16.22;-0.56
136;1;0.650;-1.550;-3.637;0.02;-0.02;0.02;-0.02;-0.29;-7.18;15.33;-0.86
137;1;0.650;-1.650;-3.658;0.03;0.00;0.02;0.00;-0.23;-6.85;14.44;-1.17
138;1;0.650;-1.750;-3.679;0.03;0.01;0.01;0.02;-0.19;-6.57;13.57;-1.48
139;1;0.650;-1.850;-3.700;0.04;0.02;0.01;0.04;-0.15;-6.32;12.73;-1.77
140;1;0.650;-1.950;-3.721;0.04;0.03;0.00;0.05;-0.12;-6.12;11.91;-1.99
141;1;0.750;-0.050;-3.348;-0.35;-0.77;0.41;0.37;1.03;-9.51;35.18;-12.60
142;1;0.750;-0.150;-3.368;-0.20;-0.87;0.16;3.00;-1.32;-12.78;28.30;-12.79
143;1;0.750;-0.250;-3.388;-0.26;-0.77;0.05;2.18;-1.46;-14.06;27.70;-9.67
144;1;0.750;-0.350;-3.409;-0.28;-0.66;-0.01;1.22;-1.28;-14.45;26.97;-6.94
145;1;0.750;-0.450;-3.429;-0.26;-0.57;-0.03;0.59;-1.07;-14.03;26.14;-4.72
146;1;0.750;-0.550;-3.449;-0.21;-0.48;-0.04;0.23;-0.89;-13.06;25.17;-3.05
147;1;0.750;-0.650;-3.470;-0.17;-0.40;-0.03;0.05;-0.78;-11.89;24.13;-1.86
148;1;0.750;-0.750;-3.490;-0.13;-0.33;-0.02;-0.02;-0.76;-10.85;23.08;-1.03
149;1;0.750;-0.850;-3.510;-0.10;-0.26;-0.01;-0.03;-0.78;-10.09;22.08;-0.49
150;1;0.750;-0.950;-3.530;-0.08;-0.21;-0.01;-0.04;-0.75;-9.56;21.09;-0.18
151;1;0.750;-1.050;-3.551;-0.05;-0.16;0.00;-0.05;-0.68;-9.17;20.10;-0.08
152;1;0.750;-1.150;-3.571;-0.04;-0.11;0.01;-0.05;-0.58;-8.79;19.12;-0.12
153;1;0.750;-1.250;-3.591;-0.02;-0.08;0.01;-0.04;-0.49;-8.37;18.15;-0.26
154;1;0.750;-1.350;-3.612;0.00;-0.05;0.01;-0.02;-0.41;-7.92;17.25;-0.45
155;1;0.750;-1.450;-3.632;0.01;-0.02;0.01;-0.01;-0.34;-7.50;16.47;-0.69
156;1;0.750;-1.550;-3.652;0.02;0.00;0.01;0.01;-0.29;-7.14;15.74;-0.96
157;1;0.750;-1.650;-3.673;0.03;0.01;0.01;0.02;-0.24;-6.83;15.00;-1.24
158;1;0.750;-1.750;-3.693;0.04;0.03;0.01;0.04;-0.19;-6.54;14.19;-1.50
159;1;0.750;-1.850;-3.713;0.04;0.04;0.00;0.05;-0.15;-6.28;13.36;-1.77
160;1;0.750;-1.950;-3.734;0.04;0.04;0.00;0.06;-0.12;-6.05;12.51;-1.97
161;1;0.850;-0.050;-3.372;-0.17;-0.56;0.25;0.03;0.91;-8.29;32.66;-10.90
162;1;0.850;-0.150;-3.392;-0.09;-0.64;0.08;2.21;-0.90;-10.89;26.35;-11.13
163;1;0.850;-0.250;-3.412;-0.15;-0.58;0.01;1.52;-0.94;-11.79;25.85;-8.53
164;1;0.850;-0.350;-3.431;-0.18;-0.50;-0.03;0.85;-0.83;-12.00;25.19;-6.27
165;1;0.850;-0.450;-3.451;-0.17;-0.43;-0.04;0.45;-0.72;-11.68;24.51;-4.43
166;1;0.850;-0.550;-3.471;-0.15;-0.37;-0.04;0.22;-0.67;-11.04;23.85;-3.04
167;1;0.850;-0.650;-3.490;-0.12;-0.31;-0.03;0.10;-0.71;-10.36;23.17;-2.01
168;1;0.850;-0.750;-3.510;-0.10;-0.26;-0.03;0.04;-0.76;-9.83;22.42;-1.24
169;1;0.850;-0.850;-3.530;-0.08;-0.20;-0.02;0.02;-0.76;-9.48;21.63;-0.72
170;1;0.850;-0.950;-3.550;-0.06;-0.16;-0.01;0.00;-0.70;-9.21;20.79;-0.41
171;1;0.850;-1.050;-3.569;-0.04;-0.11;-0.01;-0.02;-0.61;-8.91;19.91;-0.28
172;1;0.850;-1.150;-3.589;-0.02;-0.08;0.00;-0.02;-0.52;-8.55;19.04;-0.27
173;1;0.850;-1.250;-3.609;-0.01;-0.05;0.00;-0.02;-0.45;-8.14;18.20;-0.36
174;1;0.850;-1.350;-3.628;0.00;-0.02;0.01;-0.01;-0.38;-7.73;17.41;-0.53
175;1;0.850;-1.450;-3.648;0.02;0.00;0.01;0.01;-0.32;-7.37;16.67;-0.75
176;1;0.850;-1.550;-3.668;0.03;0.02;0.01;0.02;-0.27;-7.03;15.97;-1.00
177;1;0.850;-1.650;-3.687;0.03;0.03;0.01;0.03;-0.22;-6.72;15.29;-1.26
178;1;0.850;-1.750;-3.707;0.04;0.04;0.00;0.05;-0.18;-6.43;14.59;-1.49
179;1;0.850;-1.850;-3.727;0.04;0.05;0.00;0.06;-0.15;-6.18;13.86;-1.72
180;1;0.850;-1.950;-3.746;0.04;0.06;-0.01;0.07;-0.12;-5.91;13.08;-1.91
181;1;0.950;-0.050;-3.397;-0.07;-0.39;0.14;-0.16;0.79;-6.79;30.53;-9.46
182;1;0.950;-0.150;-3.416;-0.03;-0.46;0.02;1.60;-0.55;-8.98;24.70;-9.60
183;1;0.950;-0.250;-3.435;-0.09;-0.43;-0.02;1.04;-0.59;-9.69;24.41;-7.42
184;1;0.950;-0.350;-3.454;-0.11;-0.38;-0.04;0.57;-0.57;-9.89;23.88;-5.52
185;1;0.950;-0.450;-3.473;-0.11;-0.33;-0.05;0.31;-0.55;-9.76;23.26;-4.00
186;1;0.950;-0.550;-3.492;-0.10;-0.28;-0.04;0.17;-0.60;-9.49;22.77;-2.84
187;1;0.950;-0.650;-3.511;-0.09;-0.24;-0.04;0.11;-0.69;-9.24;22.31;-1.95
188;1;0.950;-0.750;-3.530;-0.07;-0.19;-0.03;0.07;-0.73;-9.10;21.77;-1.26
189;1;0.950;-0.850;-3.550;-0.06;-0.15;-0.03;0.04;-0.69;-8.99;21.12;-0.76
190;1;0.950;-0.950;-3.569;-0.04;-0.11;-0.02;0.01;-0.61;-8.81;20.41;-0.46
191;1;0.950;-1.050;-3.588;-0.03;-0.08;-0.02;-0.01;-0.54;-8.54;19.66;-0.32
192;1;0.950;-1.150;-3.607;-0.01;-0.05;-0.01;-0.01;-0.47;-8.20;18.91;-0.30
193;1;0.950;-1.250;-3.626;0.00;-0.02;0.00;0.00;-0.41;-7.85;18.22;-0.37
194;1;0.950;-1.350;-3.645;0.01;0.00;0.00;0.01;-0.35;-7.51;17.54;-0.52
195;1;0.950;-1.450;-3.664;0.02;0.02;0.00;0.02;-0.30;-7.18;16.86;-0.72
196;1;0.950;-1.550;-3.683;0.03;0.03;0.00;0.03;-0.25;-6.87;16.18;-0.95
197;1;0.950;-1.650;-3.702;0.04;0.05;0.00;0.04;-0.21;-6.56;15.52;-1.19
198;1;0.950;-1.750;-3.721;0.04;0.06;0.00;0.05;-0.17;-6.29;14.88;-1.43
199;1;0.950;-1.850;-3.740;0.04;0.06;-0.01;0.06;-0.14;-6.04;14.23;-1.63
200;1;0.950;-1.950;-3.759;0.04;0.07;-0.01;0.07;-0.11;-5.79;13.56;-1.83
201;1;1.050;-0.050;-3.422;-0.01;-0.27;0.06;-0.24;0.65;-5.25;28.72;-8.21
202;1;1.050;-0.150;-3.440;0.00;-0.32;-0.02;1.12;-0.27;-7.27;23.29;-8.23
203;1;1.050;-0.250;-3.459;-0.05;-0.32;-0.04;0.73;-0.37;-7.94;23.15;-6.37
204;1;1.050;-0.350;-3.477;-0.07;-0.29;-0.05;0.41;-0.42;-8.25;22.82;-4.79
205;1;1.050;-0.450;-3.495;-0.08;-0.25;-0.05;0.22;-0.48;-8.35;22.31;-3.52
206;1;1.050;-0.550;-3.514;-0.07;-0.21;-0.05;0.14;-0.58;-8.38;21.88;-2.52
207;1;1.050;-0.650;-3.532;-0.06;-0.18;-0.05;0.11;-0.65;-8.46;21.53;-1.72
208;1;1.050;-0.750;-3.551;-0.05;-0.14;-0.04;0.07;-0.64;-8.52;21.10;-1.10
209;1;1.050;-0.850;-3.569;-0.04;-0.11;-0.04;0.04;-0.59;-8.50;20.55;-0.66
210;1;1.050;-0.950;-3.588;-0.03;-0.07;-0.03;0.01;-0.53;-8.34;19.97;-0.38
211;1;1.050;-1.050;-3.606;-0.02;-0.05;-0.02;0.00;-0.47;-8.10;19.38;-0.24
212;1;1.050;-1.150;-3.625;0.00;-0.02;-0.02;-0.01;-0.42;-7.82;18.78;-0.22
213;1;1.050;-1.250;-3.643;0.01;0.00;-0.01;0.00;-0.37;-7.53;18.20;-0.28
214;1;1.050;-1.350;-3.661;0.02;0.02;-0.01;0.01;-0.32;-7.23;17.62;-0.42
215;1;1.050;-1.450;-3.680;0.03;0.04;-0.01;0.02;-0.27;-6.94;17.03;-0.60
216;1;1.050;-1.550;-3.698;0.04;0.05;0.00;0.03;-0.23;-6.65;16.42;-0.81
217;1;1.050;-1.650;-3.717;0.04;0.06;-0.01;0.05;-0.20;-6.37;15.81;-1.04
218;1;1.050;-1.750;-3.735;0.05;0.07;-0.01;0.06;-0.16;-6.11;15.20;-1.28
219;1;1.050;-1.850;-3.754;0.05;0.08;-0.01;0.07;-0.13;-5.88;14.59;-1.50
220;1;1.050;-1.950;-3.772;0.05;0.08;-0.01;0.07;-0.10;-5.68;13.97;-1.71
221;1;1.150;-0.050;-3.446;0.01;-0.18;0.01;-0.29;0.54;-3.96;27.19;-7.09
222;1;1.150;-0.150;-3.464;0.01;-0.22;-0.04;0.73;-0.13;-5.97;22.22;-7.08
223;1;1.150;-0.250;-3.482;-0.03;-0.22;-0.05;0.54;-0.24;-6.67;21.96;-5.43
224;1;1.150;-0.350;-3.500;-0.05;-0.21;-0.06;0.32;-0.32;-7.09;21.79;-4.12
225;1;1.150;-0.450;-3.518;-0.05;-0.19;-0.06;0.17;-0.46;-7.36;21.49;-3.03
226;1;1.150;-0.550;-3.535;-0.05;-0.16;-0.05;0.12;-0.56;-7.61;21.13;-2.11
227;1;1.150;-0.650;-3.553;-0.05;-0.13;-0.05;0.10;-0.57;-7.85;20.78;-1.37
228;1;1.150;-0.750;-3.571;-0.04;-0.10;-0.05;0.06;-0.54;-7.99;20.42;-0.83
229;1;1.150;-0.850;-3.589;-0.03;-0.07;-0.04;0.02;-0.50;-7.96;19.97;-0.45
230;1;1.150;-0.950;-3.607;-0.02;-0.04;-0.03;0.00;-0.45;-7.82;19.50;-0.20
231;1;1.150;-1.050;-3.625;0.00;-0.02;-0.03;-0.01;-0.41;-7.63;19.06;-0.07
232;1;1.150;-1.150;-3.642;0.01;0.00;-0.02;-0.01;-0.37;-7.42;18.61;-0.05
233;1;1.150;-1.250;-3.660;0.02;0.02;-0.02;0.00;-0.33;-7.17;18.13;-0.11
234;1;1.150;-1.350;-3.678;0.03;0.04;-0.01;0.00;-0.28;-6.91;17.64;-0.23
235;1;1.150;-1.450;-3.696;0.04;0.05;-0.01;0.02;-0.25;-6.64;17.13;-0.40
236;1;1.150;-1.550;-3.714;0.04;0.07;-0.01;0.03;-0.21;-6.39;16.63;-0.60
237;1;1.150;-1.650;-3.731;0.05;0.08;-0.01;0.04;-0.18;-6.15;16.10;-0.83
238;1;1.150;-1.750;-3.749;0.05;0.08;-0.01;0.05;-0.15;-5.91;15.54;-1.07
239;1;1.150;-1.850;-3.767;0.05;0.09;-0.01;0.07;-0.12;-5.71;14.95;-1.32
240;1;1.150;-1.950;-3.785;0.05;0.09;-0.01;0.08;-0.09;-5.55;14.35;-1.54
241;1;1.250;-0.050;-3.471;0.01;-0.12;-0.03;-0.32;0.44;-3.10;25.77;-6.01
242;1;1.250;-0.150;-3.488;0.02;-0.16;-0.05;0.43;-0.09;-5.08;21.49;-6.14
243;1;1.250;-0.250;-3.505;-0.01;-0.15;-0.06;0.35;-0.14;-5.74;20.79;-4.66
244;1;1.250;-0.350;-3.523;-0.03;-0.15;-0.06;0.23;-0.25;-6.24;20.68;-3.52
245;1;1.250;-0.450;-3.540;-0.03;-0.13;-0.06;0.15;-0.44;-6.64;20.66;-2.53
246;1;1.250;-0.550;-3.557;-0.03;-0.11;-0.06;0.11;-0.51;-7.03;20.42;-1.64
247;1;1.250;-0.650;-3.574;-0.03;-0.08;-0.06;0.07;-0.48;-7.32;20.05;-0.97
248;1;1.250;-0.750;-3.591;-0.02;-0.06;-0.05;0.02;-0.44;-7.42;19.71;-0.50
249;1;1.250;-0.850;-3.609;-0.01;-0.04;-0.04;-0.01;-0.42;-7.39;19.38;-0.17
250;1;1.250;-0.950;-3.626;0.00;-0.01;-0.04;-0.02;-0.39;-7.30;19.06;0.06
251;1;1.250;-1.050;-3.643;0.01;0.01;-0.03;-0.02;-0.35;-7.17;18.73;0.17
